day,hour,warehouse,day_type,units,orders,count_pick,count_pack
2024-11-01,7,TBN1,Normal,128.2857142857143,82.14285714285714,3,4
2024-11-01,8,TBN1,Normal,96.77777777777777,52.666666666666664,4,5
2024-11-01,9,TBN1,Normal,94.42857142857143,54.42857142857142,2,5
2024-11-01,10,TBN1,Normal,98.71428571428572,63.142857142857146,2,5
2024-11-01,11,TBN1,Normal,79.28571428571429,64.71428571428571,2,5
2024-11-01,12,TBN1,Normal,40.42857142857144,26.71428571428571,2,5
2024-11-01,13,TBN1,Normal,69.46666666666667,41.53333333333333,4,11
2024-11-01,14,TBN1,Normal,77.07142857142857,50.5,3,11
2024-11-01,15,TBN1,Normal,52.5,36.25,2,6
2024-11-01,16,TBN1,Normal,51.142857142857146,39.0,2,5
2024-11-01,17,TBN1,Normal,40.5,30.333333333333332,0,6
2024-11-01,18,TBN1,Normal,2.75,2.75,1,3
2024-11-01,19,TBN1,Normal,89.85714285714286,54.71428571428571,3,4
2024-11-01,20,TBN1,Normal,86.0,55.57142857142857,2,5
2024-11-01,21,TBN1,Normal,8.0,6.0,0,3
2024-11-02,6,TBN1,Normal,1.0,1.0,1,0
2024-11-02,7,TBN1,Normal,179.66666666666666,97.16666666666666,4,2
2024-11-02,8,TBN1,Normal,95.5,44.0,4,4
2024-11-02,9,TBN1,Normal,58.66666666666667,43.0,2,4
2024-11-02,10,TBN1,Normal,87.85714285714286,49.714285714285715,3,4
2024-11-02,11,TBN1,Normal,87.5,43.5,2,4
2024-11-02,12,TBN1,Normal,56.83333333333333,41.0,2,4
2024-11-02,13,TBN1,Normal,59.333333333333336,38.666666666666664,2,13
2024-11-02,14,TBN1,Normal,57.8,40.349999999999994,3,17
2024-11-02,15,TBN1,Normal,66.25,48.166666666666664,3,9
2024-11-02,16,TBN1,Normal,75.30000000000001,50.0,3,7
2024-11-02,17,TBN1,Normal,28.300000000000004,21.6,3,7
2024-11-02,18,TBN1,Normal,12.777777777777779,8.777777777777779,4,5
2024-11-02,19,TBN1,Normal,38.85714285714286,26.428571428571423,6,8
2024-11-02,20,TBN1,Normal,34.81818181818182,23.909090909090907,4,7
2024-11-02,21,TBN1,Normal,8.0,7.0,0,1
2024-11-03,7,TBN1,Normal,145.28571428571428,98.14285714285714,3,4
2024-11-03,8,TBN1,Normal,62.875,43.375,2,6
2024-11-03,9,TBN1,Normal,54.714285714285715,44.14285714285714,1,6
2024-11-03,10,TBN1,Normal,50.0,37.714285714285715,1,6
2024-11-03,11,TBN1,Normal,55.0,39.5,2,2
2024-11-03,12,TBN1,Normal,28.857142857142858,19.28571428571429,2,5
2024-11-03,13,TBN1,Normal,76.0,56.09090909090909,4,7
2024-11-03,14,TBN1,Normal,61.22222222222222,44.333333333333336,2,7
2024-11-03,15,TBN1,Normal,61.71428571428571,42.285714285714285,2,5
2024-11-03,16,TBN1,Normal,25.25,16.25,4,4
2024-11-03,17,TBN1,Normal,20.5,14.25,2,2
2024-11-03,18,TBN1,Normal,35.333333333333336,23.333333333333336,3,0
2024-11-03,19,TBN1,Normal,41.285714285714285,26.714285714285715,3,4
2024-11-03,20,TBN1,Normal,61.66666666666667,42.0,3,3
2024-11-03,21,TBN1,Normal,6.5,4.5,2,0
2024-11-04,7,TBN1,Normal,64.28571428571429,44.285714285714285,2,5
2024-11-04,8,TBN1,Normal,115.57142857142857,70.57142857142857,3,4
